price_date,ticker,last_price
05/02/2021,VIX Index,20.87
04/02/2021,VIX Index,21.77
03/02/2021,VIX Index,22.91
02/02/2021,VIX Index,25.56
01/02/2021,VIX Index,30.24
29/01/2021,VIX Index,33.09
28/01/2021,VIX Index,30.21
27/01/2021,VIX Index,37.21
26/01/2021,VIX Index,23.02
25/01/2021,VIX Index,23.19
22/01/2021,VIX Index,21.91
21/01/2021,VIX Index,21.32
20/01/2021,VIX Index,21.58
19/01/2021,VIX Index,23.24
18/01/2021,VIX Index,23.79
15/01/2021,VIX Index,24.34
14/01/2021,VIX Index,23.25
13/01/2021,VIX Index,22.21
12/01/2021,VIX Index,23.33
11/01/2021,VIX Index,24.08
08/01/2021,VIX Index,21.56
07/01/2021,VIX Index,22.37
06/01/2021,VIX Index,25.07
05/01/2021,VIX Index,25.34
04/01/2021,VIX Index,26.97
31/12/2020,VIX Index,22.75
30/12/2020,VIX Index,22.77
29/12/2020,VIX Index,23.08
28/12/2020,VIX Index,21.7
24/12/2020,VIX Index,21.53
23/12/2020,VIX Index,23.31
22/12/2020,VIX Index,24.23
21/12/2020,VIX Index,25.16
18/12/2020,VIX Index,21.57
17/12/2020,VIX Index,21.93
16/12/2020,VIX Index,22.5
15/12/2020,VIX Index,22.89
14/12/2020,VIX Index,24.72
11/12/2020,VIX Index,23.31
10/12/2020,VIX Index,22.52
09/12/2020,VIX Index,22.27
08/12/2020,VIX Index,20.68
07/12/2020,VIX Index,21.3
04/12/2020,VIX Index,20.79
03/12/2020,VIX Index,21.28
02/12/2020,VIX Index,21.17
01/12/2020,VIX Index,20.77
30/11/2020,VIX Index,20.57
27/11/2020,VIX Index,20.84
26/11/2020,VIX Index,21.045
25/11/2020,VIX Index,21.25
24/11/2020,VIX Index,21.64
23/11/2020,VIX Index,22.66
20/11/2020,VIX Index,23.7
19/11/2020,VIX Index,23.11
18/11/2020,VIX Index,23.84
17/11/2020,VIX Index,22.71
16/11/2020,VIX Index,22.45
13/11/2020,VIX Index,23.1
12/11/2020,VIX Index,25.35
11/11/2020,VIX Index,24.36
